date,value
1962-07-01,102.0
1962-08-01,92.0
1962-09-01,140.0
1962-10-01,63.0
1962-11-01,15.0
1962-12-01,-28.0
1963-01-01,87.0
1963-02-01,115.0
1963-03-01,90.0
1963-04-01,260.0
1963-05-01,36.0
1963-06-01,43.0
1963-07-01,135.0
1963-08-01,116.0
1963-09-01,168.0
1963-10-01,205.0
1963-11-01,-28.0
1963-12-01,106.0
1964-01-01,126.0
1964-02-01,266.0
1964-03-01,144.0
1964-04-01,25.0
1964-05-01,167.0
1964-06-01,130.0
1964-07-01,193.0
1964-08-01,207.0
1964-09-01,284.0
1964-10-01,-110.0
1964-11-01,425.0
1964-12-01,203.0
1965-01-01,161.0
1965-02-01,218.0
1965-03-01,203.0
1965-04-01,256.0
1965-05-01,232.0
1965-06-01,199.0
1965-07-01,275.0
1965-08-01,263.0
1965-09-01,262.0
1965-10-01,229.0
1965-11-01,277.0
1965-12-01,326.0
1966-01-01,207.0
1966-02-01,267.0
1966-03-01,396.0
1966-04-01,245.0
1966-05-01,275.0
1966-06-01,399.0
1966-07-01,190.0
1966-08-01,206.0
1966-09-01,136.0
1966-10-01,211.0
1966-11-01,165.0
1966-12-01,180.0
1967-01-01,208.0
1967-02-01,22.0
1967-03-01,101.0
1967-04-01,-64.0
1967-05-01,154.0
1967-06-01,130.0
1967-07-01,138.0
1967-08-01,255.0
1967-09-01,21.0
1967-10-01,61.0
1967-11-01,478.0
1967-12-01,197.0
1968-01-01,-96.0
1968-02-01,411.0
1968-03-01,80.0
1968-04-01,261.0
1968-05-01,96.0
1968-06-01,253.0
1968-07-01,221.0
1968-08-01,204.0
1968-09-01,154.0
1968-10-01,237.0
1968-11-01,263.0
1968-12-01,264.0
1969-01-01,191.0
1969-02-01,260.0
1969-03-01,206.0
1969-04-01,167.0
1969-05-01,256.0
1969-06-01,308.0
1969-07-01,93.0
1969-08-01,279.0
1969-09-01,-94.0
1969-10-01,207.0
1969-11-01,-35.0
1969-12-01,155.0
1970-01-01,-65.0
1970-02-01,129.0
1970-03-01,146.0
1970-04-01,-103.0
1970-05-01,-224.0
1970-06-01,-95.0
1970-07-01,24.0
1970-08-01,-116.0
1970-09-01,7.0
1970-10-01,-423.0
1970-11-01,-112.0
1970-12-01,383.0
1971-01-01,73.0
1971-02-01,-58.0
1971-03-01,53.0
1971-04-01,176.0
1971-05-01,211.0
1971-06-01,7.0
1971-07-01,61.0
1971-08-01,58.0
1971-09-01,241.0
1971-10-01,28.0
1971-11-01,205.0
1971-12-01,262.0
1972-01-01,332.0
1972-02-01,207.0
1972-03-01,296.0
1972-04-01,218.0
1972-05-01,307.0
1972-06-01,289.0
1972-07-01,-49.0
1972-08-01,432.0
1972-09-01,123.0
1972-10-01,410.0
1972-11-01,299.0
1972-12-01,295.0
1973-01-01,349.0
1973-02-01,397.0
1973-03-01,270.0
1973-04-01,171.0
1973-05-01,193.0
1973-06-01,239.0
1973-07-01,26.0
1973-08-01,255.0
1973-09-01,108.0
1973-10-01,331.0
1973-11-01,313.0
1973-12-01,111.0
1974-01-01,69.0
1974-02-01,154.0
1974-03-01,42.0
1974-04-01,86.0
1974-05-01,167.0
1974-06-01,55.0
1974-07-01,32.0
1974-08-01,-17.0
1974-09-01,-9.0
1974-10-01,20.0
1974-11-01,-365.0
1974-12-01,-613.0
1975-01-01,-359.0
1975-02-01,-375.0
1975-03-01,-270.0
1975-04-01,-188.0
1975-05-01,164.0
1975-06-01,-103.0
1975-07-01,249.0
1975-08-01,383.0
1975-09-01,75.0
1975-10-01,312.0
1975-11-01,145.0
1975-12-01,332.0
1976-01-01,486.0
1976-02-01,313.0
1976-03-01,232.0
1976-04-01,244.0
1976-05-01,20.0
1976-06-01,64.0
1976-07-01,171.0
1976-08-01,157.0
1976-09-01,188.0
1976-10-01,19.0
1976-11-01,329.0
1976-12-01,208.0
1977-01-01,242.0
1977-02-01,298.0
1977-03-01,403.0
1977-04-01,337.0
1977-05-01,360.0
1977-06-01,400.0
1977-07-01,346.0
1977-08-01,241.0
1977-09-01,457.0
1977-10-01,268.0
1977-11-01,373.0
1977-12-01,237.0
1978-01-01,184.0
1978-02-01,354.0
1978-03-01,512.0
1978-04-01,702.0
1978-05-01,347.0
1978-06-01,441.0
1978-07-01,254.0
1978-08-01,279.0
1978-09-01,138.0
1978-10-01,335.0
1978-11-01,435.0
1978-12-01,280.0
1979-01-01,137.0
1979-02-01,247.0
1979-03-01,424.0
1979-04-01,-62.0
1979-05-01,372.0
1979-06-01,319.0
1979-07-01,109.0
1979-08-01,83.0
1979-09-01,27.0
1979-10-01,154.0
1979-11-01,92.0
1979-12-01,99.0
1980-01-01,128.0
1980-02-01,83.0
1980-03-01,111.0
1980-04-01,-145.0
1980-05-01,-429.0
1980-06-01,-319.0
1980-07-01,-261.0
1980-08-01,259.0
1980-09-01,114.0
1980-10-01,277.0
1980-11-01,257.0
1980-12-01,196.0
1981-01-01,90.0
1981-02-01,72.0
1981-03-01,105.0
1981-04-01,73.0
1981-05-01,13.0
1981-06-01,194.0
1981-07-01,111.0
1981-08-01,-36.0
1981-09-01,-88.0
1981-10-01,-97.0
1981-11-01,-209.0
1981-12-01,-276.0
1982-01-01,-330.0
1982-02-01,-2.0
1982-03-01,-129.0
1982-04-01,-284.0
1982-05-01,-43.0
1982-06-01,-242.0
1982-07-01,-344.0
1982-08-01,-158.0
1982-09-01,-180.0
1982-10-01,-276.0
1982-11-01,-121.0
1982-12-01,-15.0
1983-01-01,219.0
1983-02-01,-73.0
1983-03-01,173.0
1983-04-01,274.0
1983-05-01,280.0
1983-06-01,377.0
1983-07-01,416.0
1983-08-01,-308.0
1983-09-01,1118.0
1983-10-01,273.0
1983-11-01,355.0
1983-12-01,355.0
1984-01-01,443.0
1984-02-01,484.0
1984-03-01,272.0
1984-04-01,363.0
1984-05-01,306.0
1984-06-01,381.0
1984-07-01,310.0
1984-08-01,243.0
1984-09-01,312.0
1984-10-01,285.0
1984-11-01,353.0
1984-12-01,125.0
1985-01-01,265.0
1985-02-01,131.0
1985-03-01,339.0
1985-04-01,196.0
1985-05-01,274.0
1985-06-01,147.0
1985-07-01,189.0
1985-08-01,192.0
1985-09-01,205.0
1985-10-01,188.0
1985-11-01,210.0
1985-12-01,166.0
1986-01-01,123.0
1986-02-01,115.0
1986-03-01,87.0
1986-04-01,187.0
1986-05-01,127.0
1986-06-01,-93.0
1986-07-01,318.0
1986-08-01,115.0
1986-09-01,346.0
1986-10-01,187.0
1986-11-01,187.0
1986-12-01,201.0
1987-01-01,169.0
1987-02-01,241.0
1987-03-01,245.0
1987-04-01,335.0
1987-05-01,229.0
1987-06-01,172.0
1987-07-01,347.0
1987-08-01,173.0
1987-09-01,227.0
1987-10-01,491.0
